run_id,problem,instance,execution_mode,method,ansatz_name,ansatz_repetitions,qaoa_depth,num_trainable_parameters,optimizer_name,optimizer_library,optimizer_version,initialization_rule,initialization_lower_bound,initialization_upper_bound,warm_start_source,initialization_seed,objective_shots_per_evaluation,final_sampling_shots,max_optimizer_iterations,max_objective_evaluations,function_tolerance,parameter_tolerance,gradient_tolerance,finite_difference_step,termination_reason,realized_optimizer_iterations,realized_objective_evaluations,final_parameter_selection_rule,postprocessing_rule,wall_time_seconds,artifact_replayable
research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed0_prod2_gen/result.json,market_share,ms_seed0_prod2.gen,hardware_multi,cvar_vqe,unknown_legacy_artifact,3,not_applicable,192,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,3102.1595881000394,true
research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed0_prod3_gen/result.json,market_share,ms_seed0_prod3.gen,hardware_multi,cvar_vqe,unknown_legacy_artifact,3,not_applicable,336,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,2524.208417000016,true
research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed0_prod4_gen/result.json,market_share,ms_seed0_prod4.gen,hardware_multi,cvar_vqe,unknown_legacy_artifact,3,not_applicable,472,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,2794.435419299989,true
research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed0_prod5_gen/result.json,market_share,ms_seed0_prod5.gen,hardware_multi,cvar_vqe,unknown_legacy_artifact,3,not_applicable,600,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,3658.102065199986,true
research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed1_prod2_gen/result.json,market_share,ms_seed1_prod2.gen,hardware_multi,cvar_vqe,unknown_legacy_artifact,3,not_applicable,200,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,5962.305165200029,true
research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed1_prod3_gen/result.json,market_share,ms_seed1_prod3.gen,hardware_multi,cvar_vqe,unknown_legacy_artifact,3,not_applicable,336,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,3450.8321524000494,true
research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed1_prod4_gen/result.json,market_share,ms_seed1_prod4.gen,hardware_multi,cvar_vqe,unknown_legacy_artifact,3,not_applicable,472,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,4760.695376700023,true
research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed1_prod5_gen/result.json,market_share,ms_seed1_prod5.gen,hardware_multi,cvar_vqe,unknown_legacy_artifact,3,not_applicable,624,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,3662.465099099907,true
research_benchmark/research_benchmark/results_hardware/market_share/market_share_ma_qaoa/ms_seed0_prod2_gen/result.json,market_share,ms_seed0_prod2.gen,hardware_single,ma_qaoa,QAOAAnsatz (multi-angle),3,3,2592,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,4149.644201499992,true
research_benchmark/research_benchmark/results_hardware/market_share/market_share_ma_qaoa/ms_seed0_prod3_gen/result.json,market_share,ms_seed0_prod3.gen,hardware_single,ma_qaoa,QAOAAnsatz (multi-angle),3,3,6804,COBYLA,scipy.optimize.minimize,1.15.3,uniform_0_2pi,0,2*pi,not_applicable,0,1000,1000,200,200,not_applicable,not_applicable,not_applicable,not_applicable,budget_reached,200,200,best_objective_iterate,one_round_local_swap,4258.568047699999,true
