backend_method,best_bitstring,best_gap_pct,best_objective,case_id,elapsed_sec,feasible,instance,metadata_max_memory_mb,method,replicate,seed,setting_label,shots,unique_bitstrings
matrix_product_state,001001110100111001001010011000011000111011011000111011001001000111001001101011110101110110111000010,14.913681212023752,74077.0,cvar_pet2,1.6855846249964088,True,pet2.dat,36864,cvar_vqe,0,17,production_uncapped_1e-16,1000,1000
matrix_product_state,011000110110110011011111111001001101011101111011111101101111110101011010100011110101110110010011101,13.629524126761696,75195.0,cvar_pet2,1.6505918329930864,True,pet2.dat,36864,cvar_vqe,1,1026,production_uncapped_1e-16,1000,1000
matrix_product_state,101010110000001111001110000010010010111010011011110011001001001010001000010100101100101010010101100,13.845464674193956,75007.0,cvar_pet2,1.6509685419732705,True,pet2.dat,36864,cvar_vqe,2,2035,production_uncapped_1e-16,1000,1000
matrix_product_state,010111010000110010110010100111111100110000001111110110110110111011001000100100101001000001110001010,1.4736793742318604,85778.0,cvar_pet2,1.5475831659859978,True,pet2.dat,36864,cvar_vqe,3,3044,production_uncapped_1e-16,1000,1000
matrix_product_state,111010011100111001010010110000001100001011110100010000101110000100111101001101110000110001001000100,12.03064517981645,76587.0,cvar_pet2,1.7508786670514382,True,pet2.dat,36864,cvar_vqe,4,4053,production_uncapped_1e-16,1000,1000
matrix_product_state,000111010000010001110011100110111101001110111000111101110110100110101000010011101111110101001011110,5.040144266663604,82673.0,cvar_pet2,1.5657254999969155,True,pet2.dat,36864,cvar_vqe,5,5062,production_uncapped_1e-16,1000,1000
matrix_product_state,101010110100000100001100101001101001000100110100000000101101011000000110111011001101011100001000010,10.08947749279241,78277.0,cvar_pet2,1.688908750016708,True,pet2.dat,36864,cvar_vqe,6,6071,production_uncapped_1e-16,1000,1000
matrix_product_state,101001110010001101010101101011111000101000010110111101011010001000100111110010101110100001011001100,11.77680017459023,76808.0,cvar_pet2,1.6179872920038179,True,pet2.dat,36864,cvar_vqe,7,7080,production_uncapped_1e-16,1000,1000
matrix_product_state,111010011000101110011100011011111001001001011011110011011100011000011101011111101000011010001110100,15.786632361217997,73317.0,cvar_pet2,1.5738492920063436,True,pet2.dat,36864,cvar_vqe,8,8089,production_uncapped_1e-16,1000,1000
matrix_product_state,010111010000111011001000011000111000110001010100111110010000011010010101011110101000111100101101100,1.4736793742318604,85778.0,cvar_pet2,1.700627833022736,True,pet2.dat,36864,cvar_vqe,9,9098,production_uncapped_1e-16,1000,1000
matrix_product_state,111011011110111001000011101001101110100101111011011010110110100111010010111000011010110110000111110,9.748337372646764,78574.0,cvar_pet2,1.562375916983001,True,pet2.dat,36864,cvar_vqe,10,10107,production_uncapped_1e-16,1000,1000
matrix_product_state,011000110000011010001110101001001001011011001101000110110110111011101001011111101010111001010110110,17.38551130816324,71925.0,cvar_pet2,1.6895681250025518,True,pet2.dat,36864,cvar_vqe,11,11116,production_uncapped_1e-16,1000,1000
matrix_product_state,101011011010100110100101100101100000100110101010100001110110100111011111110110010010000101010000101,17.070789446480052,72199.0,cvar_pet2,1.9417205839999951,True,pet2.dat,36864,cvar_vqe,12,12125,production_uncapped_1e-16,1000,1000
matrix_product_state,111011011010101110011110011010111000011101010100011011011101010101100011100110001101110100100000010,13.504324554048312,75304.0,cvar_pet2,1.8795247919624671,True,pet2.dat,36864,cvar_vqe,13,13134,production_uncapped_1e-16,1000,1000
matrix_product_state,001000011110000101011110000100101110111001101100110011111100010101010011011010101101110101000011001,22.703621598649224,67295.0,cvar_pet2,1.8873077920288779,True,pet2.dat,36864,cvar_vqe,14,14143,production_uncapped_1e-16,1000,1000
matrix_product_state,101011110000111001000011110000001100111001111000111010110111000100100011100111010011001010111110010,11.56315686702427,76994.0,cvar_pet2,1.6637588750454597,True,pet2.dat,36864,cvar_vqe,15,15152,production_uncapped_1e-16,1000,1000
matrix_product_state,111011110110110001000110000101101001110000100101000000101001100110111011100110001000101110000110101,4.240704793190981,83369.0,cvar_pet2,1.5678654580260627,True,pet2.dat,36864,cvar_vqe,16,16161,production_uncapped_1e-16,1000,1000
matrix_product_state,101010110110001011000101110010001101111111101000111101010101101001100100110101101101000110011101100,10.08947749279241,78277.0,cvar_pet2,1.7070083749713376,True,pet2.dat,36864,cvar_vqe,17,17170,production_uncapped_1e-16,1000,1000
matrix_product_state,010100010101010101011000000101101100011010110101111101000000011010000001011110010011100110010000010,0.2136433075659595,86875.0,cvar_pet2,1.6951379170059226,True,pet2.dat,36864,cvar_vqe,18,18179,production_uncapped_1e-16,1000,1000
matrix_product_state,011111100010110100010100000010110011001111000100000110010110011010000100111010100110000100011101100,18.909729959453717,70598.0,cvar_pet2,1.7079312500427477,True,pet2.dat,36864,cvar_vqe,19,19188,production_uncapped_1e-16,1000,1000
matrix_product_state,001001110100111001001010011000011000111011011000111011001001000111001001101011110101110110111000010,14.913681212023752,74077.0,cvar_pet2,0.5737580829882063,True,pet2.dat,36864,cvar_vqe,0,17,restricted_cap_32_1e-16,1000,1000
